LSOA Code,WIMD 2019 
W01000001,885
W01000002,1324
W01000003,550
W01000004,1100
W01000005,1065
W01000006,1116
W01000007,1036
W01000008,1820
W01000009,819
W01000010,1624
W01000011,1377
W01000012,1494
W01000013,1777
W01000014,1194
W01000015,1704
W01000016,168
W01000017,486
W01000018,1145
W01000019,1233
W01000020,1424
W01000021,1044
W01000022,857
W01000023,985
W01000024,1050
W01000025,1300
W01000026,946
W01000027,954
W01000028,727
W01000029,366
W01000030,353
W01000031,864
W01000032,1053
W01000033,224
W01000034,1196
W01000035,1087
W01000036,316
W01000037,974
W01000038,764
W01000039,1409
W01000040,1325
W01000041,308
W01000042,1442
W01000043,915
W01000044,1716
W01000047,1234
W01000048,907
W01000049,1037
W01000050,855
W01000051,1167
W01000052,1606
W01000053,1320
W01000054,1394
W01000056,558
W01000057,889
W01000059,357
W01000060,768
W01000061,1615
W01000062,875
W01000063,663
W01000064,1016
W01000065,679
W01000066,904
W01000067,1222
W01000068,1224
W01000069,1339
W01000070,1177
W01000071,957
W01000072,1502
W01000073,1375
W01000074,1254
W01000075,753
W01000076,1132
W01000077,938
W01000078,800
W01000079,1018
W01000080,1355
W01000081,1260
W01000082,991
W01000083,1162
W01000084,1378
W01000085,725
W01000086,748
W01000087,1634
W01000088,1046
W01000089,1102
W01000090,300
W01000091,167
W01000092,1566
W01000093,1454
W01000094,1574
W01000095,1481
W01000096,900
W01000097,901
W01000098,155
W01000099,1349
W01000100,1395
W01000101,1338
W01000102,1633
W01000103,1109
W01000104,1090
W01000105,1141
W01000106,1661
W01000107,1082
W01000108,1078
W01000109,1042
W01000110,1204
W01000111,650
W01000112,569
W01000113,862
W01000114,1119
W01000115,1187
W01000116,1410
W01000117,747
W01000118,1006
W01000119,1564
W01000121,1165
W01000122,1126
W01000123,902
W01000124,1251
W01000125,1293
W01000126,1466
W01000127,190
W01000128,1159
W01000129,711
W01000130,1688
W01000131,1632
W01000132,726
W01000133,1694
W01000134,1000
W01000135,1856
W01000136,1610
W01000137,1178
W01000138,616
W01000139,1550
W01000140,647
W01000141,1598
W01000142,1739
W01000143,477
W01000144,20
W01000145,792
W01000146,623
W01000147,1107
W01000148,1267
W01000149,296
W01000150,781
W01000151,540
W01000152,681
W01000153,1277
W01000154,1742
W01000155,1596
W01000156,1482
W01000157,610
W01000158,1506
W01000159,968
W01000162,1001
W01000163,193
W01000164,1328
W01000165,1830
W01000166,1084
W01000167,615
W01000168,590
W01000169,521
W01000170,1408
W01000171,969
W01000172,516
W01000173,1599
W01000174,1859
W01000175,1861
W01000176,759
W01000177,1197
W01000178,313
W01000179,1584
W01000180,1769
W01000181,1841
W01000182,202
W01000183,1310
W01000184,439
W01000185,1195
W01000186,364
W01000187,78
W01000188,1457
W01000189,914
W01000190,1168
W01000191,1002
W01000192,953
W01000193,700
W01000194,602
W01000195,1870
W01000196,1730
W01000197,1581
W01000198,170
W01000199,519
W01000200,1471
W01000201,779
W01000202,1334
W01000203,1508
W01000204,1607
W01000205,1192
W01000206,1253
W01000207,1155
W01000208,625
W01000209,1058
W01000210,1318
W01000211,1123
W01000212,1591
W01000213,400
W01000214,389
W01000215,1764
W01000216,572
W01000217,845
W01000218,592
W01000219,836
W01000220,780
W01000221,646
W01000222,1025
W01000223,1369
W01000224,1329
W01000225,1210
W01000226,351
W01000227,973
W01000228,133
W01000229,587
W01000230,1327
W01000231,782
W01000232,1152
W01000233,917
W01000234,192
W01000235,1453
W01000236,57
W01000237,19
W01000238,651
W01000239,2
W01000240,1
W01000241,11
W01000242,1041
W01000243,1447
W01000244,1887
W01000245,1556
W01000246,1020
W01000247,1114
W01000248,1243
W01000249,1862
W01000250,1738
W01000251,1272
W01000252,1498
W01000253,940
W01000254,568
W01000255,1478
W01000256,1455
W01000257,1831
W01000258,1372
W01000259,921
W01000260,1629
W01000261,1631
W01000262,627
W01000263,470
W01000264,1693
W01000265,1520
W01000266,1582
W01000267,1696
W01000268,1867
W01000269,1244
W01000270,1559
W01000271,1352
W01000272,1557
W01000273,672
W01000274,231
W01000275,1458
W01000276,1573
W01000277,1645
W01000278,225
W01000279,1468
W01000280,1588
W01000281,1489
W01000282,1882
W01000283,1294
W01000284,1852
W01000285,1876
W01000286,1846
W01000287,409
W01000288,320
W01000289,1612
W01000290,223
W01000291,1279
W01000292,469
W01000293,678
W01000294,1685
W01000295,1515
W01000296,247
