country,pop_70_plus,total_pop,prop_70_plus,confirmed,deaths,recovered,crude_cfr
Afghanistan,586.38,38928.341,0.015063061639333667,16,0,0,0
Albania,279.386,2877.8,0.09708318854680659,42,1,0,0.023809523809523808
Algeria,1813.639,43851.043,0.041359084663048946,48,4,12,0.08333333333333333
Angola,416.32099999999997,32866.268000000004,0.012667121195506588,NA,NA,NA,NA
Antigua and Barbuda,5.755,97.928,0.05876766604035618,1,0,0,0
Argentina,3492.1760000000004,45195.777,0.07726775003779668,45,2,1,0.044444444444444446
Armenia,218.425,2963.234,0.07371169472272525,26,0,0,0
Aruba,9.545,106.766,0.0894011202068074,2,0,0,0
Australia,2901.647,25499.881,0.11379060945421667,297,3,23,0.010101010101010102
Austria,1278.632,9006.4,0.14196926629952036,860,1,6,0.0011627906976744186
Azerbaijan,375.815,10139.175,0.03706563896964004,23,1,6,0.043478260869565216
Bahamas,18.625999999999998,393.248,0.04736451297908698,NA,NA,NA,NA
Bahrain,23.666,1701.583,0.013908225458293835,214,0,60,0
Bangladesh,5811.875,164689.383,0.035289919083612085,5,0,0,0
Barbados,32.963,287.371,0.11470538084914624,NA,NA,NA,NA
Belarus,894.005,9449.321,0.09461050164345142,27,0,3,0
Belgium,1597.5240000000001,11589.616,0.13784097764757694,886,4,1,0.004514672686230248
Belize,12.549,397.621,0.03156020431516444,NA,NA,NA,NA
Benin,236.85500000000002,12123.198,0.019537336600458064,NA,NA,NA,NA
Bhutan,32.27,771.612,0.0418215372492911,1,0,0,0
Bolivia,594.86,11673.029,0.05096020921390669,10,0,0,0
Bosnia and Herzegovina,365.956,3280.815,0.11154423519765669,24,0,0,0
Botswana,60.94,2351.625,0.025913995641311856,NA,NA,NA,NA
Brazil,12960.578,212559.409,0.06097390871085833,162,0,0,0
Brunei Darussalam,13.043,437.483,0.029813729904933448,NA,NA,NA,NA
Bulgaria,1036.393,6948.445,0.1491546669794465,51,2,0,0.0392156862745098
Burkina Faso,281.949,20903.278,0.013488267246888265,3,0,0,0
Burundi,144.677,11890.781,0.01216715706058332,NA,NA,NA,NA
Cabo Verde,15.653,555.9879999999999,0.02815348532702145,NA,NA,NA,NA
Cambodia,448.09499999999997,16718.971,0.026801589643286057,7,0,1,0
Cameroon,408.131,26545.864,0.015374560797870432,2,0,0,0
Canada,4682.795,37742.157,0.12407332734056509,250,1,8,0.004
Central African Republic,77.036,4829.764,0.01595026175191997,1,0,0,0
Chad,229.092,16425.859,0.013947033150595046,NA,NA,NA,NA
Channel Islands,21.753999999999998,173.859,0.12512438240183135,NA,NA,NA,NA
Chile,1530.847,19116.209,0.08008109766952223,74,0,0,0
China,98112.40800000001,1439323.774,0.06816562733994,81003,3203,67017,0.03954174536745553
"China, Hong Kong SAR",904.423,7496.987999999999,0.12063818162707478,NA,NA,NA,NA
"China, Macao SAR",43.546,649.342,0.06706173326228705,NA,NA,NA,NA
Colombia,2925.368,50882.884,0.057492181457324626,34,0,0,0
Comoros,14.883000000000001,869.595,0.017114863815914306,NA,NA,NA,NA
Congo,85.00999999999999,5518.092,0.01540568732815618,NA,NA,NA,NA
Costa Rica,343.603,5094.114,0.06745098362541553,27,0,0,0
Cote d'Ivoire,413.078,26378.275,0.015659780633873896,1,0,0,0
Croatia,596.132,4105.268,0.14521146975057414,49,0,1,0
Cuba,1233.157,11326.616,0.10887249995938769,4,0,0,0
Curacao,19.522000000000002,164.1,0.11896404631322366,1,0,0,0
Cyprus,118.553,1207.361,0.09819184154532073,26,0,0,0
Czechia,1476.2150000000001,10708.982,0.1378483034148344,253,0,0,0
Dem. People's Republic of Korea,1747.8200000000002,25778.815,0.06780063397018056,NA,NA,NA,NA
Democratic Republic of the Congo,1604.1350000000002,89561.404,0.017911007737216808,NA,NA,NA,NA
Denmark,859.1109999999999,5792.2029999999995,0.1483219769749092,875,2,1,0.002285714285714286
Djibouti,28.494999999999997,988.002,0.0288410347347475,NA,NA,NA,NA
Dominican Republic,523.019,10847.904,0.04821383006339289,11,0,0,0
Ecuador,853.201,17643.06,0.04835901481942475,28,2,0,0.07142857142857142
Egypt,3294.802,102334.403,0.03219642567319223,110,2,21,0.01818181818181818
El Salvador,375.79,6486.201,0.05793684161190811,NA,NA,NA,NA
Equatorial Guinea,18.201,1402.985,0.01297305388154542,1,0,0,0
Eritrea,99.91300000000001,3546.427,0.02817286243309111,NA,NA,NA,NA
Estonia,186.512,1326.539,0.1406004648185994,171,0,1,0
Eswatini,29.672,1160.164,0.02557569447078172,1,0,0,0
Ethiopia,2497.845,114963.583,0.02172727167002093,1,0,0,0
Fiji,29.191,896.444,0.03256310488998755,NA,NA,NA,NA
Finland,894.0060000000001,5540.718,0.16135201250090694,244,0,10,0
France,9754.972,65273.512,0.1494476350529446,4513,91,12,0.020163970751163305
French Guiana,9.253,298.682,0.0309794363235816,NA,NA,NA,NA
French Polynesia,15.110000000000001,280.904,0.053790618859112016,NA,NA,NA,NA
Gabon,47.854,2225.728,0.02150038099893608,1,0,0,0
Gambia,35.928,2416.6639999999998,0.014866775025406925,NA,NA,NA,NA
Georgia,397.754,3989.175,0.09970833568344332,33,0,0,0
Germany,13347.158000000001,83783.945,0.1593044824996006,5795,11,46,0.0018981880931837791
Ghana,552.048,31072.945,0.01776619499696601,6,0,0,0
Greece,1742.0780000000002,10423.056,0.16713697019377044,331,4,8,0.012084592145015106
Grenada,7.16,112.519,0.0636336974199913,NA,NA,NA,NA
Guadeloupe,53.903999999999996,400.127,0.13471722728033847,3,0,0,0
Guam,11.344999999999999,168.78300000000002,0.06721648507254877,NA,NA,NA,NA
Guatemala,576.61,17915.567,0.03218485912279528,1,0,0,0
Guinea,209.99699999999999,13132.792,0.01599027838101753,1,0,0,0
Guinea-Bissau,29.551000000000002,1967.998,0.015015767292446436,NA,NA,NA,NA
Guyana,33.947,786.559,0.04315887301524743,4,1,0,0.25
Haiti,359.06899999999996,11402.533,0.03149028378168254,NA,NA,NA,NA
Honduras,309.798,9904.608,0.031278168706929135,3,0,0,0
Hungary,1277.712,9660.35,0.13226353082445252,32,1,1,0.03125
Iceland,36.19,341.25,0.10605128205128204,171,5,8,0.029239766081871343
India,52459.669,1380004.385,0.03801413210726863,113,2,13,0.017699115044247787
Indonesia,9993.087,273523.621,0.03653463990958207,117,5,8,0.042735042735042736
Iran,3248.964,83992.953,0.038681387949296174,13938,724,4590,0.05194432486726933
Iraq,762.078,40222.503,0.018946558348196283,116,10,26,0.08620689655172414
Ireland,488.895,4937.796,0.09901077322756954,129,2,0,0.015503875968992248
Israel,720.846,8655.541,0.08328144942066591,251,0,4,0
Italy,10557.457,60461.828,0.1746135925628977,24747,1809,2335,0.0730997696690508
Jamaica,178.389,2961.161,0.06024292498786794,10,0,0,0
Japan,27536.752,126476.458,0.21772235272433071,839,22,118,0.026221692491060787
Jordan,254.366,10203.14,0.024930168555954348,8,0,1,0
Kazakhstan,856.316,18776.707,0.045605227796332984,9,0,0,0
Kenya,718.617,53771.3,0.013364322603321845,3,0,0,0
Kiribati,2.9210000000000003,119.446,0.02445456524287126,NA,NA,NA,NA
Kuwait,58.641999999999996,4270.563,0.013731678937882429,112,0,5,0
Kyrgyzstan,164.701,6524.191,0.025244662518310697,NA,NA,NA,NA
Lao People's Democratic Republic,176.177,7275.556,0.02421491910721325,NA,NA,NA,NA
Latvia,269.991,1886.202,0.1431400242391854,30,0,1,0
