NAME,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007,RNETMIG2008,RNETMIG2009,RNETMIG2010,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017
Alabama,-0.684620918,-0.770327918,1.879725463,2.511446185,4.862850588,8.802178166,4.833041564,4.795516398,3.4866184,1.933308383,0.450740529,0.939392537,1.364295533,0.694270828,0.678575096,0.558930569,1.708217894
Alaska,-2.856882255,3.257035424,1.171945964,4.493875209,0.226887353,-0.537565349,-4.223232634,-3.636835953,2.886200615,9.529211571,0.615481447,1.782415882,-1.875189512,-10.36566206,-7.991928058,-4.3798551,-11.31560632
Arizona,17.23255042,18.92414139,16.24512352,21.13767948,27.71031388,27.08225425,17.10037986,12.82871253,6.431080808,3.378179061,3.177163082,6.378164476,5.498188306,8.099945363,9.119606428,11.41602333,11.39195709
Arkansas,1.583430117,1.666481337,3.056187527,5.508688748,7.02088338,9.838109727,4.21332401,3.740482855,3.112616623,4.144110165,2.623039439,0.533981176,0.1591605,-0.084099176,1.144362374,1.58890463,2.742423459
California,6.112599506,3.203635799,2.444639927,0.958769305,-1.608802933,-3.309589373,-2.63620428,0.666753719,1.816702516,0.805621778,2.019697403,2.414664971,2.062399467,2.6465872,2.24142104,1.180355864,0.67666983
Colorado,15.18935097,7.349843628,1.188109188,2.85468936,5.020916345,11.15975825,9.891089422,10.58269459,9.772929834,7.038786822,6.653588393,7.247391738,8.49774799,8.90930551,12.47269251,10.85652041,8.372975792
Connecticut,2.245561836,3.093874126,3.163364086,-0.806939158,-1.701086849,-0.615576587,-2.700968411,0.610449878,0.996408032,4.078017503,0.99385145,-0.54272597,-0.420267563,-2.47936248,-3.464251708,-3.112421321,-1.257548041
Delaware,6.505881289,7.876148318,9.042417834,10.17578572,11.96727361,10.66790791,8.181997045,7.536584483,5.218774644,3.361075544,5.296537501,6.119187703,5.969656598,7.266983132,7.253133729,6.564723311,7.527275405
District of Columbia,-1.000186122,-7.544744551,-13.75714772,-7.595201339,-7.539732064,-1.476809714,-2.06256563,0.841491122,11.01089238,13.16937723,17.02824276,16.47974547,15.01854179,9.015104763,10.6484054,10.5550774,7.708001405
Florida,16.09833676,17.10489058,14.96214131,20.67198926,20.31523707,13.47298658,5.732820409,3.773823854,3.041081794,7.085255953,11.11716977,10.53630956,10.86464678,13.82672308,16.80930941,17.70466067,14.64994023
Georgia,11.19644103,8.957532754,6.73190848,9.631969295,10.25045439,17.38367964,12.77141402,8.564030479,5.525668523,3.278183524,3.643135781,3.885656082,1.619368154,4.700277684,6.147298012,6.21825421,6.457793302
Hawaii,-0.850250898,1.997241632,2.774617639,4.198902122,4.328081436,0.958407627,-6.782553573,0.835311446,-0.979610549,4.358355996,4.097529667,4.305157348,4.797897751,1.077944672,1.08648643,-2.713132,-4.785343991
Idaho,7.903168632,7.067121888,7.999237323,11.40202197,16.00735383,17.67928657,13.7107588,8.740725616,2.429955745,-0.2418977,0.681654181,0.583412763,3.109652216,6.244565013,5.321803876,12.34835629,15.61686315
Illinois,-0.776092565,-2.01643162,-2.920392221,-2.411572888,-3.486922677,-2.616918256,-1.366804526,-1.339766722,-0.963757627,-2.418777815,-3.098800498,-3.311553118,-3.195324969,-4.901128285,-5.620775771,-5.899265139,-6.325048272
Indiana,0.833618737,-0.309435233,1.211762809,0.799919782,2.106905481,3.071808278,1.682346189,1.251097223,0.372948452,-0.694603984,-0.005228603,-0.603017863,1.443011905,0.399219918,-0.525758612,0.148135811,1.568925236
Iowa,-2.618133545,-2.825888663,-1.548601576,-0.067413929,-0.680721558,1.240141559,0.46945118,0.647947513,0.351225449,0.477342148,1.248627516,0.0912338,1.87921928,1.684142157,1.016703631,0.510773774,1.310267694
Kansas,-2.384383714,-1.275569102,-2.296049003,-2.021376487,-1.988109352,-0.083674839,0.666752723,1.51624962,1.339358369,1.884968635,-1.61231773,0.655188187,-2.268520249,-2.456644879,-2.104268792,-3.941845904,-2.732245131
Kentucky,1.267046181,2.255003081,3.479189964,3.611401403,4.930696666,4.354850055,4.058920777,3.286202386,2.526376289,4.862063668,1.784441447,0.634127871,0.883773433,-0.109653902,0.507445707,0.86631889,1.808262532
Louisiana,-6.668686123,-3.549502828,-2.207186521,-1.131407858,-2.377206766,-63.554916,7.75400632,4.041399537,4.052735429,4.960316805,1.664389618,1.437278068,1.110572258,0.302083145,0.437124088,-1.064188135,-4.230088288
Maine,5.692423347,7.349356989,7.279056156,3.659402877,2.753557028,2.004116358,0.490071121,0.982177088,-1.598943439,-3.235992431,0.685360696,0.178459219,0.392308051,1.301527582,0.389958934,3.000730996,5.216532221
Maryland,5.810991453,6.203822007,4.283589968,1.979461322,1.64761394,-0.732131123,-2.343497559,-1.707444954,1.479468501,4.759421012,4.404527335,3.388725581,2.506525949,1.682783329,0.60948277,-0.000831579,0.835808507
Massachusetts,2.498366895,-0.213495864,-2.957196814,-4.676927293,-4.53972355,-2.284001694,-0.276730697,2.268212441,4.282805856,6.724201566,4.364382781,4.266337548,5.211369731,4.53869731,3.276286834,2.261905313,3.246089828
Michigan,-0.007915276,-1.299784583,-1.451172781,-2.281047067,-3.962168418,-5.201013315,-7.080414349,-8.807014774,-7.199302351,-6.032360302,-2.520233707,-1.356183729,-0.835244255,-0.67911941,-1.355428331,-0.34334738,1.05359153
Minnesota,4.361096974,1.638955584,0.402769112,0.6315661,-0.245437224,1.883781285,1.36292172,0.875858647,0.238739858,-0.92567643,1.327993583,0.606509232,2.057298058,1.48959542,0.78914495,2.57787587,4.395920753
Mississippi,-2.516827226,-2.024875542,-0.595845046,2.402286952,0.922552273,-5.793075564,2.005199289,0.175027529,-1.218558476,-0.760830814,-1.288188129,-1.714981255,-1.0628598,-2.440306283,-3.475466092,-2.346118855,-2.612607557
Missouri,1.947191173,1.958703515,1.741183231,2.120751579,2.526570713,3.730134808,2.123792284,0.563956711,1.00620274,0.731193004,-0.913213028,-1.096434825,0.091011503,-0.229768093,-0.009892294,0.442624255,1.151358967
Montana,0.042008307,1.770076239,4.768375216,7.208147888,6.53414221,8.347549828,7.288851063,6.769994702,2.834756544,1.756676126,3.494059746,3.539313373,5.553121572,4.88224536,5.311856767,7.162164189,8.579569959
Nebraska,-2.306419184,-0.649427786,-0.091940384,-0.81015828,-0.095595043,-0.765911309,-1.379467797,-0.036037446,1.180919295,1.8448531,0.880815623,1.488433798,1.491023234,1.496664918,1.312497284,1.646336507,0.710613403
Nevada,29.82503064,26.7081432,24.60276851,34.59440185,27.37769042,27.25261204,20.57790343,10.27987909,2.726067661,-2.58842969,-0.016233266,7.23031196,7.323039338,10.98699833,13.03495651,14.96450464,15.55725817
New Hampshire,10.27979939,8.355873834,5.735920477,5.692452956,3.612700887,4.549787262,1.150143559,0.728246846,-0.615920137,-1.315409736,-0.40302917,0.632751202,0.061281348,3.793602097,0.85225841,3.037728847,5.170643175
New Jersey,2.651475528,2.305210694,0.078703398,-1.290723222,-3.018446714,-3.961831795,-3.418239091,-1.594039946,0.65280701,1.149515636,0.600507627,0.23185248,0.075635697,-0.414969246,-1.549906884,-1.210251718,-0.036921585
New Mexico,-2.050075323,5.214137919,4.240644049,5.674313946,6.462087294,7.060111227,5.536722846,1.432438022,4.100655735,4.795101441,0.852173078,-2.238705184,-4.037180441,-5.398275776,-4.481606042,-1.971832878,-2.236011867
New York,-2.319110168,-3.574665568,-4.986068545,-6.509895888,-8.472481585,-8.164817251,-5.553059811,-2.863573649,-1.18325806,0.341352066,1.449723678,0.322590689,0.015557507,-1.374863768,-2.020259831,-3.114967299,-3.028648743
North Carolina,9.469236129,8.201055831,6.854451318,8.703346418,11.19056831,17.10713167,15.62697022,13.76839802,8.623461712,10.51905179,4.88085914,5.323036759,6.006086882,5.458953709,6.788894661,8.269344125,8.439798752
North Dakota,-9.612772776,-5.980073771,-3.098483449,3.095077503,-4.499602097,-1.710508939,-2.462797251,-0.317280949,2.943493769,6.161436759,10.18870812,17.73757223,23.98250916,14.62951382,14.66873159,-6.206274203,-6.835475376
Ohio,-1.974981633,-2.051200693,-1.866251182,-2.192426787,-2.80062799,-2.660599379,-2.627609848,-3.004743787,-2.118963186,-1.844135536,-2.005405454,-1.934318656,-0.267534058,-0.074088191,-0.715265773,-0.47562096,1.196331987
Oklahoma,-0.555597953,1.976262119,0.295842694,0.864663112,1.437162863,7.232201363,5.066429927,3.321843866,6.461535314,2.796094936,2.874312387,3.837890252,5.124760963,2.809116762,4.014468541,0.915717214,-0.801826677
Oregon,7.864346187,10.23972403,6.225299057,3.389537859,9.069198737,12.47057398,10.06868361,8.53571632,6.511537924,2.232952044,4.13479671,4.168425204,3.645958116,7.413896132,11.33127998,14.55990391,11.10421795
Pennsylvania,-0.295871021,1.082278022,1.480726691,1.17756919,1.242495474,2.350005543,1.50798164,0.964410595,1.575296466,1.139794524,1.39632969,0.774494142,0.008690041,-0.192265641,-0.590192939,-0.979583832,0.906198669
Rhode Island,5.46854661,6.012942043,3.979344461,-2.310867705,-7.280461598,-6.467201679,-7.580352732,-4.127083046,-2.920191711,-1.002688078,-2.170688298,-0.991964046,-1.139847403,1.029623746,0.368598445,0.526145953,0.891741707
South Carolina,5.345109013,6.08647258,6.653004312,9.273363697,9.020627242,14.68030497,13.6336183,12.80513541,8.548713324,5.028652881,4.557516734,6.484412441,7.28823829,9.476968121,11.43809094,11.62273167,10.90964706
South Dakota,-0.938814018,-0.944059852,0.831871672,3.56591823,1.02035105,3.896460736,4.157537366,2.608695109,2.853582285,4.45954373,3.160594426,5.682662264,6.062961431,1.893652835,0.142061214,3.034545792,3.753448459
Tennessee,3.888753039,3.699362275,4.835577334,5.886038254,8.797306361,11.08794136,8.873528367,6.134540338,4.798547625,2.778528613,3.447571992,5.363467473,3.559885629,4.915430378,5.309376103,6.505676304,7.586910309
Texas,7.9053313,7.429344664,5.379565697,6.04414234,6.737867971,14.54992993,9.293675848,9.134063442,9.433899995,6.742665931,7.394950823,8.602287995,7.346719712,9.68755401,10.45243796,8.590466336,6.745484007
Utah,1.401810227,1.818958896,-0.644831348,1.856043337,6.495831167,10.29594396,10.6332134,8.09476439,5.290357344,1.973148462,1.214519138,1.374334792,3.560540219,1.491445256,4.285915901,8.371538825,7.349962269
Vermont,2.425420766,3.52374658,1.711721149,0.941116251,-0.150368767,0.561834487,-1.404334735,-1.319362163,-0.891528787,-1.06097066,-0.333851949,-1.915616992,0.131027044,-1.313404314,-1.932614469,-2.115708414,0.024057526
Virginia,6.069599143,6.854512086,6.118480054,7.021677053,6.77691403,4.720436019,2.623327191,3.192745579,4.996296087,6.371923662,4.990592431,4.715453979,4.130612458,1.813061194,1.439131884,1.227687237,2.483949681
Washington,7.180491452,6.040532143,4.245549655,6.330854005,7.341728234,11.81554633,8.007495703,9.297023755,8.791507474,3.996210868,6.038107182,5.064750292,5.281100631,6.791412143,9.963133855,13.03264737,12.33267403
West Virginia,-3.450242183,1.474155175,2.690434298,1.727341813,1.591806659,2.322801252,1.794145812,1.909504806,2.788714182,3.222753416,1.126386618,0.7498145,-0.870082825,-1.931914344,-2.769437795,-4.432445281,-5.290171969
Wisconsin,1.947320339,2.758040023,1.485412908,1.632845327,0.958849627,0.553579763,0.676973962,0.037758764,0.199603204,-1.65260703,-0.643020512,-0.74035912,-0.151164086,-0.465879668,-1.223002383,-0.544193573,1.068773556
Wyoming,-5.544409995,4.805813034,-0.012045073,3.292831506,1.393141306,7.416471475,13.53527848,10.79331121,14.02273008,-1.133995776,0.337462389,10.1187719,4.742227656,-3.79007871,-0.299289572,-7.128876561,-14.23264403
Puerto Rico Commonwealth,-1.488464531,-1.423329401,-1.356447762,-1.291025315,-1.226960379,-1.161089566,-1.09532575,-1.033968997,-0.978560413,-7.628055703,-14.53354931,-14.98218295,-13.80354241,-18.26303239,-18.4807445,-19.84912998,-20.24942698
