country_code	country	reg_code	name	1920-1925	1925-1930	1930-1935	1935-1940	1940-1945	1945-1950	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	last.observed	include_code
124	Canada	658	Alberta	3.67658	3.53453	3.26834	2.80923	3.03319	3.54254	3.92349	4.31014	4.14046	2.99265	2.2575	1.92847	1.85965	1.84186	1.85638	1.74092	1.6983	1.84217	1.75737	2013	2
124	Canada	659	British Columbia	2.56431	2.30186	2.06295	1.94215	2.33019	2.80774	3.37498	3.90015	3.68329	2.6043	1.98532	1.65508	1.64602	1.62976	1.66249	1.50985	1.40684	1.49011	1.42255	2013	2
124	Canada	660	Manitoba	3.70549	3.06143	2.70552	2.37978	2.6448	3.10863	3.40821	3.74661	3.84305	2.89233	2.37419	1.94918	1.81723	1.85351	1.96052	1.87191	1.8124	1.9285	1.90134	2013	2
124	Canada	661	New Brunswick	4.14633	3.85523	3.80716	3.53707	3.77847	4.49058	4.46812	4.5856	4.40038	3.16836	2.41186	1.87802	1.65807	1.54133	1.55999	1.46688	1.41498	1.52896	1.57725	2013	2
124	Canada	662	Newfoundland and Labrador	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00868	0.00913	0.0083	0.00619	1.10526	1.28398	1.31308	1.46059	1.43482	2013	2
124	Canada	663	Northwest Territories	NA	NA	NA	NA	NA	NA	NA	NA	7.1283	6.18854	4.13635	3.03095	2.94308	2.80674	2.76338	2.58597	1.96706	2.0657	1.92103	2013	2
124	Canada	664	Nova Scotia	3.46914	3.21441	3.25701	2.92093	3.12856	3.66269	3.84056	4.11754	4.09029	2.96292	2.28341	1.80688	1.63295	1.58401	1.59359	1.47972	1.39693	1.4736	1.48318	2013	2
124	Canada	665	Nunavut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.51067	3.06718	2.91414	2.90265	2013	2
124	Canada	666	Ontario	3.04771	2.73455	2.51578	2.22439	2.4524	2.97298	3.34665	3.68937	3.68407	2.69182	2.05674	1.68718	1.59292	1.59687	1.67441	1.5821	1.50786	1.57056	1.52714	2013	2
124	Canada	667	Prince Edward Island	3.57511	3.18505	3.497	3.31494	3.55597	4.29377	4.29731	4.61338	4.69801	3.44458	2.57892	2.07896	1.88752	1.84329	1.83363	1.68282	1.55722	1.65658	1.61006	2013	2
124	Canada	668	Quebec	NA	4.1947	3.75974	3.29386	3.479	3.78998	3.84215	3.92993	3.58198	2.46799	1.75129	1.68675	1.5096	1.41691	1.64896	1.54749	1.4841	1.66652	1.6574	2013	2
124	Canada	669	Saskatchewan	4.16014	3.81213	3.4181	2.91911	2.99882	3.44431	3.7389	4.16392	4.21532	3.1846	2.54337	2.22509	2.10689	2.0267	2.0284	1.88857	1.85879	1.98549	1.98294	2013	2
124	Canada	670	Yukon	NA	NA	NA	NA	NA	NA	NA	NA	5.30913	3.63348	2.65989	1.93069	2.00893	1.94336	1.99403	1.73057	1.5829	1.56556	1.61377	2003	2
